gender,age_group,transformation,image_id_01,distortion_level_11,distortion_level_12,distortion_level_21,distortion_level_22,reaction_time_ms,answer
man,41-50,rotation,1,2,1,4,6,3335,2
man,41-50,rotation,1,3,2,10,4,3936,2
man,41-50,rotation,1,4,3,6,8,5875,2
man,41-50,rotation,1,6,3,1,2,3143,1
man,41-50,rotation,2,3,5,9,8,7352,1
man,41-50,rotation,2,5,3,6,10,3938,2
man,41-50,rotation,2,6,8,9,10,10552,1
man,41-50,rotation,2,7,9,2,1,5366,1
man,41-50,rotation,3,1,3,8,6,15123,1
man,41-50,rotation,3,8,7,1,4,10674,2
man,41-50,rotation,3,8,7,6,5,9341,1
man,41-50,rotation,4,2,1,5,9,5906,2
man,41-50,rotation,4,3,6,7,10,10983,1
man,41-50,rotation,4,10,9,8,5,8076,2
man,41-50,rotation,6,4,3,2,1,4062,1
man,41-50,rotation,7,2,5,6,9,5923,1
man,41-50,rotation,7,8,7,5,3,9689,1
man,41-50,rotation,7,8,9,4,5,12478,1
man,41-50,rotation,8,3,1,7,5,6094,1
man,41-50,rotation,8,5,9,4,3,3784,1
man,41-50,rotation,8,6,10,2,4,10978,1
man,41-50,rotation,8,9,7,5,1,5937,2
man,41-50,rotation,9,7,9,6,3,8891,2
man,41-50,rotation,10,4,10,1,3,4241,1
man,41-50,rotation,11,1,5,8,10,9099,1
man,41-50,rotation,11,5,10,2,3,5476,1
man,41-50,rotation,12,5,8,2,4,10495,1
man,41-50,rotation,12,8,7,9,10,9632,2
man,41-50,rotation,14,2,6,8,7,3523,1
man,41-50,rotation,14,10,7,3,4,6242,1
man,41-50,rotation,15,4,8,3,2,3627,1
man,41-50,rotation,15,5,2,6,9,3712,2
man,41-50,rotation,15,6,3,9,8,5556,1
man,41-50,rotation,15,6,7,1,4,6062,2
man,41-50,rotation,15,7,6,3,1,10382,2
man,41-50,rotation,16,2,1,8,3,2809,2
man,41-50,rotation,16,2,4,7,9,9257,2
man,41-50,rotation,16,8,10,2,7,4544,2
man,41-50,rotation,17,2,3,10,9,11482,2
man,41-50,rotation,17,4,6,7,8,5560,1
man,41-50,rotation,18,5,10,4,3,4049,1
man,41-50,rotation,18,10,4,1,3,4176,1
man,41-50,rotation,19,3,4,7,9,8329,2
man,41-50,rotation,19,7,4,2,3,4371,1
man,41-50,rotation,20,5,4,6,8,5364,1
man,41-50,rotation,21,3,8,1,2,4161,1
man,41-50,rotation,23,2,1,7,6,19271,2
man,41-50,rotation,24,7,5,9,8,14109,1
man,41-50,translation,1,3,2,8,10,15257,1
man,41-50,translation,1,4,1,5,9,4438,2
man,41-50,translation,1,5,1,10,7,6379,1
man,41-50,translation,1,5,2,10,6,13029,2
man,41-50,translation,2,1,2,7,6,6758,2
man,41-50,translation,2,5,8,10,9,6636,1
man,41-50,translation,2,6,4,7,10,7808,2
man,41-50,translation,3,4,6,1,2,11056,1
man,41-50,translation,3,9,10,8,6,7444,2
man,41-50,translation,4,1,2,7,8,22810,1
man,41-50,translation,5,7,10,3,4,8766,1
man,41-50,translation,5,8,10,3,6,10339,2
man,41-50,translation,5,10,7,3,2,16686,1
man,41-50,translation,6,7,8,2,3,14060,2
man,41-50,translation,7,2,4,8,6,12113,2
man,41-50,translation,8,8,5,2,3,9437,1
man,41-50,translation,10,9,5,1,4,7748,1
man,41-50,translation,11,6,10,3,2,6111,1
man,41-50,translation,11,10,8,3,7,17836,2
man,41-50,translation,12,1,2,10,7,7526,2
man,41-50,translation,12,2,3,10,4,4361,2
man,41-50,translation,14,2,1,7,6,11434,1
man,41-50,translation,14,5,4,2,3,6142,2
man,41-50,translation,14,5,7,3,2,17866,1
man,41-50,translation,14,8,10,6,4,12704,1
man,41-50,translation,14,10,6,2,5,11617,1
man,41-50,translation,16,1,2,9,3,8484,2
man,41-50,translation,17,4,2,7,6,13719,1
man,41-50,translation,17,4,10,1,2,5185,1
man,41-50,translation,17,5,9,4,1,9933,1
man,41-50,translation,17,8,7,3,4,11928,1
man,41-50,translation,18,7,8,1,6,6363,2
man,41-50,translation,18,7,8,2,6,5883,2
man,41-50,translation,18,9,6,4,2,10586,1
man,41-50,translation,20,5,3,2,1,18002,2
man,41-50,translation,20,10,8,1,2,8040,2
man,41-50,translation,21,10,8,1,6,7570,2
man,41-50,translation,22,3,5,8,6,16009,1
man,41-50,translation,22,4,1,10,6,6663,2
man,41-50,translation,22,7,9,2,1,7066,1
man,41-50,translation,22,8,7,5,3,7599,2
man,41-50,translation,23,1,2,6,5,12670,1
man,41-50,translation,23,6,9,1,2,10378,1
man,41-50,translation,23,9,6,5,2,11692,2
man,41-50,translation,24,2,3,8,9,6884,1
man,41-50,translation,24,3,4,10,9,13786,2
man,41-50,translation,24,4,5,6,8,5854,2
man,41-50,translation,24,7,6,8,9,9253,2
man,41-50,scale,1,3,4,6,9,8767,2
man,41-50,scale,1,5,2,6,9,11446,2
man,41-50,scale,2,2,8,10,9,6021,1
man,41-50,scale,5,3,2,6,9,7392,2
man,41-50,scale,5,4,2,8,7,12622,1
man,41-50,scale,6,1,5,9,6,5117,2
man,41-50,scale,6,2,4,7,10,6303,2
man,41-50,scale,6,7,3,9,8,15850,1
man,41-50,scale,6,10,8,6,2,5782,1
man,41-50,scale,6,10,9,4,2,5351,2
man,41-50,scale,7,6,8,1,4,16553,2
man,41-50,scale,8,2,4,10,8,6845,2
man,41-50,scale,8,4,2,7,9,10015,1
man,41-50,scale,8,8,7,1,6,7330,1
man,41-50,scale,9,3,6,8,10,12946,1
man,41-50,scale,10,5,2,10,6,8322,2
man,41-50,scale,10,6,1,9,7,4492,2
man,41-50,scale,10,7,8,2,5,9291,1
man,41-50,scale,10,8,5,3,2,9823,2
man,41-50,scale,12,2,1,9,3,12090,2
man,41-50,scale,12,8,7,3,2,9984,2
man,41-50,scale,12,8,9,4,5,6110,2
man,41-50,scale,13,7,6,9,10,11790,2
man,41-50,scale,14,2,3,7,10,6304,1
