Reference,Distorted,Curve_Value,Sigmas,Response,Estimated_MOS
img_01.png,rot_img_01_level_01.png,0,0.2207109,0,5.4356243992662
img_01.png,rot_img_01_level_02.png,0.1139236,0.2207109,0.5161664,5.16712431010986
img_01.png,rot_img_01_level_03.png,0.1854712,0.2207109,0.8403355,4.99849761869459
img_01.png,rot_img_01_level_04.png,0.34635,0.2207109,1.569247,4.6193315150174
img_01.png,rot_img_01_level_05.png,0.417098,0.2207109,1.889793,4.4525894923311
img_01.png,rot_img_01_level_06.png,0.5548205,0.2207109,2.513788,4.12799898598835
img_01.png,rot_img_01_level_07.png,0.6558334,0.2207109,2.971458,3.88992762798407
img_01.png,rot_img_01_level_08.png,0.7881048,0.2207109,3.570755,3.57818455844075
img_01.png,rot_img_01_level_09.png,0.8539165,0.2207109,3.868936,3.42307638967051
img_01.png,rot_img_01_level_10.png,1,0.2207109,4.530813,3.07878037677519
img_02.png,rot_img_02_level_01.png,0,0.3025799,0,5.4356243992662
img_02.png,rot_img_02_level_02.png,0.03787288,0.3025799,0.1251665,5.37051513138401
img_02.png,rot_img_02_level_03.png,0.152223,0.3025799,0.5030835,5.17392978953747
img_02.png,rot_img_02_level_04.png,0.2446505,0.3025799,0.8085482,5.01503277651199
img_02.png,rot_img_02_level_05.png,0.3890724,0.3025799,1.28585,4.76674932401589
img_02.png,rot_img_02_level_06.png,0.49332,0.3025799,1.630379,4.58753179413223
img_02.png,rot_img_02_level_07.png,0.64588,0.3025799,2.134577,4.32525744238742
img_02.png,rot_img_02_level_08.png,0.7434033,0.3025799,2.456882,4.15760042086194
img_02.png,rot_img_02_level_09.png,0.874687,0.3025799,2.890764,3.931903134709
img_02.png,rot_img_02_level_10.png,1,0.3025799,3.304912,3.71647110557281
img_03.png,rot_img_03_level_01.png,0,0.5101987,0,5.4356243992662
img_03.png,rot_img_03_level_02.png,0.1140353,0.5101987,0.2235116,5.31935785319215
img_03.png,rot_img_03_level_03.png,0.3017437,0.5101987,0.591424,5.12797671679559
img_03.png,rot_img_03_level_04.png,0.3697524,0.5101987,0.7247224,5.05863738691205
img_03.png,rot_img_03_level_05.png,0.5653545,0.5101987,1.108107,4.8592079019995
img_03.png,rot_img_03_level_06.png,0.6692613,0.5101987,1.311766,4.75326830643983
img_03.png,rot_img_03_level_07.png,0.7230474,0.5101987,1.417188,4.69842975747763
img_03.png,rot_img_03_level_08.png,0.8203215,0.5101987,1.607847,4.59925251831898
img_03.png,rot_img_03_level_09.png,0.82315,0.5101987,1.613391,4.59636863340458
img_03.png,rot_img_03_level_10.png,1,0.5101987,1.960021,4.41605820269025
img_04.png,rot_img_04_level_01.png,0,0.2313753,0,5.4356243992662
img_04.png,rot_img_04_level_02.png,0.174229,0.2313753,0.7530149,5.04392015856775
img_04.png,rot_img_04_level_03.png,0.2738267,0.2313753,1.183474,4.8200034008552
img_04.png,rot_img_04_level_04.png,0.4527904,0.2313753,1.956952,4.41765463898216
img_04.png,rot_img_04_level_05.png,0.5300549,0.2313753,2.290888,4.2439473892028
img_04.png,rot_img_04_level_06.png,0.6178269,0.2313753,2.670237,4.04661714778963
img_04.png,rot_img_04_level_07.png,0.7448958,0.2313753,3.219426,3.76093932090341
img_04.png,rot_img_04_level_08.png,0.7469838,0.2313753,3.228451,3.75624468501732
img_04.png,rot_img_04_level_09.png,0.8325225,0.2313753,3.598148,3.56393523314127
img_04.png,rot_img_04_level_10.png,1,0.2313753,4.321982,3.18741034981994
img_05.png,rot_img_05_level_01.png,0,0.5353575,0,5.4356243992662
img_05.png,rot_img_05_level_02.png,0.1272727,0.5353575,0.237734,5.31195962721693
